date,home_team,away_team,team,scorer,tournament,minute,own_goal,penalty
06-02-2013,Honduras,United States,United States,Clint Dempsey,FIFA World Cup qualification,36,FALSE,FALSE
06-02-2013,Honduras,United States,Honduras,Juan Carlos García,FIFA World Cup qualification,40,FALSE,FALSE
06-02-2013,Honduras,United States,Honduras,Jerry Bengtson,FIFA World Cup qualification,79,FALSE,FALSE
06-02-2013,Panama,Costa Rica,Panama,Luis Henríquez,FIFA World Cup qualification,15,FALSE,FALSE
06-02-2013,Panama,Costa Rica,Panama,Román Torres,FIFA World Cup qualification,27,FALSE,FALSE
06-02-2013,Panama,Costa Rica,Costa Rica,Álvaro Saborío,FIFA World Cup qualification,39,FALSE,FALSE
06-02-2013,Panama,Costa Rica,Costa Rica,Bryan Ruiz,FIFA World Cup qualification,84,FALSE,FALSE
22-03-2013,Andorra,Turkey,Turkey,Selçuk İnan,FIFA World Cup qualification,30,FALSE,FALSE
22-03-2013,Andorra,Turkey,Turkey,Burak Yılmaz,FIFA World Cup qualification,45,FALSE,FALSE
22-03-2013,Argentina,Venezuela,Argentina,Gonzalo Higuaín,FIFA World Cup qualification,29,FALSE,FALSE
22-03-2013,Argentina,Venezuela,Argentina,Lionel Messi,FIFA World Cup qualification,45,FALSE,TRUE
22-03-2013,Argentina,Venezuela,Argentina,Gonzalo Higuaín,FIFA World Cup qualification,59,FALSE,FALSE
22-03-2013,Austria,Faroe Islands,Austria,Philipp Hosiner,FIFA World Cup qualification,8,FALSE,FALSE
22-03-2013,Austria,Faroe Islands,Austria,Philipp Hosiner,FIFA World Cup qualification,20,FALSE,FALSE
22-03-2013,Austria,Faroe Islands,Austria,Andreas Ivanschitz,FIFA World Cup qualification,28,FALSE,FALSE
22-03-2013,Austria,Faroe Islands,Austria,Zlatko Junuzović,FIFA World Cup qualification,77,FALSE,FALSE
22-03-2013,Austria,Faroe Islands,Austria,David Alaba,FIFA World Cup qualification,78,FALSE,FALSE
22-03-2013,Austria,Faroe Islands,Austria,György Garics,FIFA World Cup qualification,82,FALSE,FALSE
22-03-2013,Bosnia and Herzegovina,Greece,Bosnia and Herzegovina,Edin Džeko,FIFA World Cup qualification,29,FALSE,FALSE
22-03-2013,Bosnia and Herzegovina,Greece,Bosnia and Herzegovina,Vedad Ibišević,FIFA World Cup qualification,36,FALSE,FALSE
22-03-2013,Bosnia and Herzegovina,Greece,Bosnia and Herzegovina,Edin Džeko,FIFA World Cup qualification,53,FALSE,FALSE
22-03-2013,Bosnia and Herzegovina,Greece,Greece,Theofanis Gekas,FIFA World Cup qualification,90,FALSE,FALSE
22-03-2013,Bulgaria,Malta,Bulgaria,Aleksandar Tonev,FIFA World Cup qualification,6,FALSE,FALSE
22-03-2013,Bulgaria,Malta,Bulgaria,Aleksandar Tonev,FIFA World Cup qualification,38,FALSE,FALSE
22-03-2013,Bulgaria,Malta,Bulgaria,Ivelin Popov,FIFA World Cup qualification,47,FALSE,FALSE
22-03-2013,Bulgaria,Malta,Bulgaria,Emil Gargorov,FIFA World Cup qualification,55,FALSE,FALSE
22-03-2013,Bulgaria,Malta,Bulgaria,Aleksandar Tonev,FIFA World Cup qualification,68,FALSE,FALSE
22-03-2013,Bulgaria,Malta,Bulgaria,Ivan Ivanov,FIFA World Cup qualification,78,FALSE,FALSE
22-03-2013,Colombia,Bolivia,Colombia,Macnelly Torres,FIFA World Cup qualification,20,FALSE,FALSE
22-03-2013,Colombia,Bolivia,Colombia,Carlos Valdés,FIFA World Cup qualification,49,FALSE,FALSE
22-03-2013,Colombia,Bolivia,Colombia,Teófilo Gutiérrez,FIFA World Cup qualification,62,FALSE,FALSE
22-03-2013,Colombia,Bolivia,Colombia,Radamel Falcao,FIFA World Cup qualification,86,FALSE,FALSE
22-03-2013,Colombia,Bolivia,Colombia,Pablo Armero,FIFA World Cup qualification,90,FALSE,FALSE
22-03-2013,Croatia,Serbia,Croatia,Mario Mandžukić,FIFA World Cup qualification,23,FALSE,FALSE
22-03-2013,Croatia,Serbia,Croatia,Ivica Olić,FIFA World Cup qualification,37,FALSE,FALSE
22-03-2013,Czech Republic,Denmark,Denmark,Andreas Cornelius,FIFA World Cup qualification,57,FALSE,FALSE
22-03-2013,Czech Republic,Denmark,Denmark,Simon Kjær,FIFA World Cup qualification,67,FALSE,FALSE
22-03-2013,Czech Republic,Denmark,Denmark,Niki Zimling,FIFA World Cup qualification,83,FALSE,FALSE
22-03-2013,France,Georgia,France,Olivier Giroud,FIFA World Cup qualification,45,FALSE,FALSE
22-03-2013,France,Georgia,France,Mathieu Valbuena,FIFA World Cup qualification,47,FALSE,FALSE
22-03-2013,France,Georgia,France,Franck Ribéry,FIFA World Cup qualification,61,FALSE,FALSE
22-03-2013,France,Georgia,Georgia,Alexander Kobakhidze,FIFA World Cup qualification,71,FALSE,FALSE
22-03-2013,Honduras,Mexico,Mexico,Javier Hernández,FIFA World Cup qualification,28,FALSE,FALSE
22-03-2013,Honduras,Mexico,Mexico,Javier Hernández,FIFA World Cup qualification,54,FALSE,FALSE
22-03-2013,Honduras,Mexico,Honduras,Carlo Costly,FIFA World Cup qualification,77,FALSE,FALSE
22-03-2013,Honduras,Mexico,Honduras,Jerry Bengtson,FIFA World Cup qualification,80,FALSE,FALSE
22-03-2013,Hungary,Romania,Hungary,Vilmos Vanczák,FIFA World Cup qualification,16,FALSE,FALSE
22-03-2013,Hungary,Romania,Romania,Adrian Mutu,FIFA World Cup qualification,68,FALSE,TRUE
22-03-2013,Hungary,Romania,Hungary,Balázs Dzsudzsák,FIFA World Cup qualification,71,FALSE,TRUE
22-03-2013,Hungary,Romania,Romania,Alexandru Chipciu,FIFA World Cup qualification,90,FALSE,FALSE
22-03-2013,Israel,Portugal,Portugal,Bruno Alves,FIFA World Cup qualification,2,FALSE,FALSE
22-03-2013,Israel,Portugal,Israel,Tomer Hemed,FIFA World Cup qualification,24,FALSE,FALSE
22-03-2013,Israel,Portugal,Israel,Eden Ben Basat,FIFA World Cup qualification,40,FALSE,FALSE
22-03-2013,Israel,Portugal,Israel,Rami Gershon,FIFA World Cup qualification,70,FALSE,FALSE
22-03-2013,Israel,Portugal,Portugal,Hélder Postiga,FIFA World Cup qualification,72,FALSE,FALSE
22-03-2013,Israel,Portugal,Portugal,Fábio Coentrão,FIFA World Cup qualification,90,FALSE,FALSE
22-03-2013,Jamaica,Panama,Jamaica,Marvin Elliott,FIFA World Cup qualification,23,FALSE,FALSE
22-03-2013,Jamaica,Panama,Panama,Luis Henríquez,FIFA World Cup qualification,66,FALSE,FALSE
22-03-2013,Kazakhstan,Germany,Germany,Thomas Müller,FIFA World Cup qualification,20,FALSE,FALSE
22-03-2013,Kazakhstan,Germany,Germany,Mario Götze,FIFA World Cup qualification,22,FALSE,FALSE
22-03-2013,Kazakhstan,Germany,Germany,Thomas Müller,FIFA World Cup qualification,73,FALSE,FALSE
22-03-2013,Liechtenstein,Latvia,Liechtenstein,Michele Polverino,FIFA World Cup qualification,17,FALSE,FALSE
22-03-2013,Liechtenstein,Latvia,Latvia,Aleksandrs Cauņa,FIFA World Cup qualification,30,FALSE,FALSE
22-03-2013,Moldova,Montenegro,Montenegro,Mirko Vučinić,FIFA World Cup qualification,78,FALSE,FALSE
22-03-2013,Netherlands,Estonia,Netherlands,Rafael van der Vaart,FIFA World Cup qualification,47,FALSE,FALSE
22-03-2013,Netherlands,Estonia,Netherlands,Robin van Persie,FIFA World Cup qualification,72,FALSE,FALSE
22-03-2013,Netherlands,Estonia,Netherlands,Ruben Schaken,FIFA World Cup qualification,84,FALSE,FALSE
22-03-2013,New Zealand,New Caledonia,New Zealand,Chris Killen,FIFA World Cup qualification,10,FALSE,FALSE
22-03-2013,New Zealand,New Caledonia,New Caledonia,César Lolohea,FIFA World Cup qualification,56,FALSE,FALSE
22-03-2013,New Zealand,New Caledonia,New Zealand,Tommy Smith,FIFA World Cup qualification,90,FALSE,FALSE
22-03-2013,North Macedonia,Belgium,Belgium,Kevin De Bruyne,FIFA World Cup qualification,26,FALSE,FALSE
22-03-2013,North Macedonia,Belgium,Belgium,Eden Hazard,FIFA World Cup qualification,62,FALSE,TRUE
22-03-2013,Norway,Albania,Albania,Hamdi Salihi,FIFA World Cup qualification,66,FALSE,FALSE
22-03-2013,Peru,Chile,Peru,Jefferson Farfán,FIFA World Cup qualification,87,FALSE,FALSE
22-03-2013,Poland,Ukraine,Ukraine,Andriy Yarmolenko,FIFA World Cup qualification,2,FALSE,FALSE
22-03-2013,Poland,Ukraine,Ukraine,Oleh Husyev,FIFA World Cup qualification,7,FALSE,FALSE
22-03-2013,Poland,Ukraine,Poland,Łukasz Piszczek,FIFA World Cup qualification,18,FALSE,FALSE
22-03-2013,Poland,Ukraine,Ukraine,Roman Zozulya,FIFA World Cup qualification,45,FALSE,FALSE
22-03-2013,San Marino,England,England,Alessandro Della Valle,FIFA World Cup qualification,12,TRUE,FALSE
22-03-2013,San Marino,England,England,Alex Oxlade-Chamberlain,FIFA World Cup qualification,29,FALSE,FALSE
22-03-2013,San Marino,England,England,Jermain Defoe,FIFA World Cup qualification,34,FALSE,FALSE
22-03-2013,San Marino,England,England,Ashley Young,FIFA World Cup qualification,39,FALSE,FALSE
22-03-2013,San Marino,England,England,Frank Lampard,FIFA World Cup qualification,42,FALSE,FALSE
22-03-2013,San Marino,England,England,Wayne Rooney,FIFA World Cup qualification,54,FALSE,FALSE
22-03-2013,San Marino,England,England,Daniel Sturridge,FIFA World Cup qualification,70,FALSE,FALSE
22-03-2013,San Marino,England,England,Jermain Defoe,FIFA World Cup qualification,77,FALSE,FALSE
22-03-2013,Scotland,Wales,Scotland,Grant Hanley,FIFA World Cup qualification,45,FALSE,FALSE
22-03-2013,Scotland,Wales,Wales,Aaron Ramsey,FIFA World Cup qualification,72,FALSE,TRUE
22-03-2013,Scotland,Wales,Wales,Hal Robson-Kanu,FIFA World Cup qualification,74,FALSE,FALSE
22-03-2013,Slovakia,Lithuania,Lithuania,Darvydas Šernas,FIFA World Cup qualification,19,FALSE,FALSE
22-03-2013,Slovakia,Lithuania,Slovakia,Martin Jakubko,FIFA World Cup qualification,40,FALSE,FALSE
22-03-2013,Slovenia,Iceland,Slovenia,Milivoje Novaković,FIFA World Cup qualification,34,FALSE,FALSE
22-03-2013,Slovenia,Iceland,Iceland,Gylfi Sigurðsson,FIFA World Cup qualification,55,FALSE,FALSE
22-03-2013,Slovenia,Iceland,Iceland,Gylfi Sigurðsson,FIFA World Cup qualification,78,FALSE,FALSE
22-03-2013,Spain,Finland,Spain,Sergio Ramos,FIFA World Cup qualification,49,FALSE,FALSE
22-03-2013,Spain,Finland,Finland,Teemu Pukki,FIFA World Cup qualification,79,FALSE,FALSE
22-03-2013,Tahiti,Solomon Islands,Tahiti,Heimano Bourebare,FIFA World Cup qualification,25,FALSE,FALSE
22-03-2013,Tahiti,Solomon Islands,Tahiti,Samuel Hyanine,FIFA World Cup qualification,78,FALSE,FALSE
22-03-2013,United States,Costa Rica,United States,Clint Dempsey,FIFA World Cup qualification,16,FALSE,FALSE
22-03-2013,Uruguay,Paraguay,Uruguay,Luis Suárez,FIFA World Cup qualification,81,FALSE,FALSE
22-03-2013,Uruguay,Paraguay,Paraguay,Édgar Benítez,FIFA World Cup qualification,85,FALSE,FALSE
23-03-2013,Burkina Faso,Niger,Burkina Faso,Jonathan Pitroipa,FIFA World Cup qualification,3,FALSE,FALSE
23-03-2013,Burkina Faso,Niger,Burkina Faso,Aristide Bancé,FIFA World Cup qualification,34,FALSE,FALSE
23-03-2013,Burkina Faso,Niger,Burkina Faso,Charles Kaboré,FIFA World Cup qualification,77,FALSE,FALSE
23-03-2013,Burkina Faso,Niger,Burkina Faso,Préjuce Nakoulma,FIFA World Cup qualification,86,FALSE,FALSE
23-03-2013,Cameroon,Togo,Cameroon,Samuel Eto'o,FIFA World Cup qualification,41,FALSE,TRUE
23-03-2013,Cameroon,Togo,Togo,Dové Womé,FIFA World Cup qualification,45,FALSE,FALSE
23-03-2013,Cameroon,Togo,Cameroon,Samuel Eto'o,FIFA World Cup qualification,82,FALSE,FALSE
23-03-2013,Congo,Gabon,Congo,Christopher Samba,FIFA World Cup qualification,61,FALSE,FALSE
23-03-2013,Ivory Coast,Gambia,Ivory Coast,Wilfried Bony,FIFA World Cup qualification,51,FALSE,TRUE
23-03-2013,Ivory Coast,Gambia,Ivory Coast,Yaya Touré,FIFA World Cup qualification,57,FALSE,FALSE
23-03-2013,Ivory Coast,Gambia,Ivory Coast,Salomon Kalou,FIFA World Cup qualification,70,FALSE,FALSE
23-03-2013,Namibia,Malawi,Malawi,Gabadinho Mhango,FIFA World Cup qualification,71,FALSE,FALSE
23-03-2013,Nigeria,Kenya,Kenya,Francis Kahata,FIFA World Cup qualification,35,FALSE,FALSE
23-03-2013,Nigeria,Kenya,Nigeria,Nnamdi Oduamadi,FIFA World Cup qualification,90,FALSE,FALSE
23-03-2013,Senegal,Angola,Senegal,Moussa Sow,FIFA World Cup qualification,40,FALSE,FALSE
23-03-2013,Senegal,Angola,Angola,Amaro,FIFA World Cup qualification,75,FALSE,FALSE
23-03-2013,South Africa,Central African Republic,South Africa,Thabo Matlaba,FIFA World Cup qualification,33,FALSE,FALSE
23-03-2013,South Africa,Central African Republic,South Africa,Bernard Parker,FIFA World Cup qualification,71,FALSE,FALSE
23-03-2013,Tunisia,Sierra Leone,Tunisia,Oussama Darragi,FIFA World Cup qualification,57,FALSE,FALSE
23-03-2013,Tunisia,Sierra Leone,Tunisia,Wahbi Khazri,FIFA World Cup qualification,72,FALSE,FALSE
23-03-2013,Tunisia,Sierra Leone,Sierra Leone,Alhassan Kamara,FIFA World Cup qualification,74,FALSE,FALSE
24-03-2013,Ethiopia,Botswana,Ethiopia,Getaneh Kebede,FIFA World Cup qualification,89,FALSE,FALSE
24-03-2013,Ghana,Sudan,Ghana,Asamoah Gyan,FIFA World Cup qualification,19,FALSE,FALSE
24-03-2013,Ghana,Sudan,Ghana,Mubarak Wakaso,FIFA World Cup qualification,38,FALSE,FALSE
24-03-2013,Ghana,Sudan,Ghana,Abdul Majeed Waris,FIFA World Cup qualification,80,FALSE,FALSE
24-03-2013,Ghana,Sudan,Ghana,Emmanuel Agyemang-Badu,FIFA World Cup qualification,83,FALSE,FALSE
24-03-2013,Lesotho,Zambia,Zambia,Collins Mbesuma,FIFA World Cup qualification,74,FALSE,FALSE
24-03-2013,Lesotho,Zambia,Lesotho,Litsepe Marabe,FIFA World Cup qualification,88,FALSE,FALSE
24-03-2013,Liberia,Uganda,Liberia,Patrick Ronaldinho Wleh,FIFA World Cup qualification,32,FALSE,FALSE
24-03-2013,Liberia,Uganda,Liberia,Anthony Laffor,FIFA World Cup qualification,50,FALSE,FALSE
24-03-2013,Rwanda,Mali,Rwanda,Meddie Kagere,FIFA World Cup qualification,36,FALSE,FALSE
24-03-2013,Rwanda,Mali,Mali,Mamadou Samassa,FIFA World Cup qualification,49,FALSE,FALSE
24-03-2013,Rwanda,Mali,Mali,Abdou Traoré,FIFA World Cup qualification,54,FALSE,FALSE
24-03-2013,Tanzania,Morocco,Tanzania,Thomas Ulimwengu,FIFA World Cup qualification,46,FALSE,FALSE
24-03-2013,Tanzania,Morocco,Tanzania,Mbwana Samatta,FIFA World Cup qualification,67,FALSE,FALSE
24-03-2013,Tanzania,Morocco,Tanzania,Mbwana Samatta,FIFA World Cup qualification,79,FALSE,FALSE
24-03-2013,Tanzania,Morocco,Morocco,Youssef El-Arabi,FIFA World Cup qualification,90,FALSE,FALSE
26-03-2013,Algeria,Benin,Algeria,Sofiane Feghouli,FIFA World Cup qualification,10,FALSE,FALSE
26-03-2013,Algeria,Benin,Benin,Rudy Gestede,FIFA World Cup qualification,26,FALSE,FALSE
26-03-2013,Algeria,Benin,Algeria,Saphir Sliti Taïder,FIFA World Cup qualification,59,FALSE,FALSE
26-03-2013,Algeria,Benin,Algeria,Islam Slimani,FIFA World Cup qualification,90,FALSE,FALSE
26-03-2013,Armenia,Czech Republic,Czech Republic,Matěj Vydra,FIFA World Cup qualification,47,FALSE,FALSE
26-03-2013,Armenia,Czech Republic,Czech Republic,Matěj Vydra,FIFA World Cup qualification,81,FALSE,FALSE
26-03-2013,Armenia,Czech Republic,Czech Republic,Daniel Kolář,FIFA World Cup qualification,90,FALSE,FALSE
26-03-2013,Australia,Oman,Oman,Abdul Aziz Al-Muqbali,FIFA World Cup qualification,7,FALSE,FALSE
26-03-2013,Australia,Oman,Oman,Mile Jedinak,FIFA World Cup qualification,49,TRUE,FALSE
26-03-2013,Australia,Oman,Australia,Tim Cahill,FIFA World Cup qualification,52,FALSE,FALSE
26-03-2013,Australia,Oman,Australia,Brett Holman,FIFA World Cup qualification,85,FALSE,FALSE
26-03-2013,Azerbaijan,Portugal,Portugal,Bruno Alves,FIFA World Cup qualification,63,FALSE,FALSE
26-03-2013,Azerbaijan,Portugal,Portugal,Hugo Almeida,FIFA World Cup qualification,79,FALSE,FALSE
26-03-2013,Belgium,North Macedonia,Belgium,Eden Hazard,FIFA World Cup qualification,62,FALSE,FALSE
26-03-2013,Bolivia,Argentina,Bolivia,Marcelo Martins Moreno,FIFA World Cup qualification,25,FALSE,FALSE
26-03-2013,Bolivia,Argentina,Argentina,Éver Banega,FIFA World Cup qualification,44,FALSE,FALSE
26-03-2013,Chile,Uruguay,Chile,Esteban Paredes,FIFA World Cup qualification,10,FALSE,FALSE
26-03-2013,Chile,Uruguay,Chile,Eduardo Vargas,FIFA World Cup qualification,77,FALSE,FALSE
26-03-2013,Costa Rica,Jamaica,Costa Rica,Michael Umaña,FIFA World Cup qualification,22,FALSE,FALSE
26-03-2013,Costa Rica,Jamaica,Costa Rica,Diego Calvo,FIFA World Cup qualification,82,FALSE,FALSE
26-03-2013,Denmark,Bulgaria,Bulgaria,Stanislav Manolev,FIFA World Cup qualification,51,FALSE,FALSE
26-03-2013,Denmark,Bulgaria,Denmark,Daniel Agger,FIFA World Cup qualification,63,FALSE,TRUE
26-03-2013,Ecuador,Paraguay,Paraguay,Luis Nery Caballero,FIFA World Cup qualification,15,FALSE,FALSE
26-03-2013,Ecuador,Paraguay,Ecuador,Felipe Caicedo,FIFA World Cup qualification,37,FALSE,FALSE
26-03-2013,Ecuador,Paraguay,Ecuador,Jefferson Montero,FIFA World Cup qualification,49,FALSE,FALSE
26-03-2013,Ecuador,Paraguay,Ecuador,Christian Benítez,FIFA World Cup qualification,54,FALSE,FALSE
26-03-2013,Ecuador,Paraguay,Ecuador,Jefferson Montero,FIFA World Cup qualification,74,FALSE,FALSE
26-03-2013,Egypt,Zimbabwe,Egypt,Hosny Abd Rabo,FIFA World Cup qualification,64,FALSE,FALSE
26-03-2013,Egypt,Zimbabwe,Zimbabwe,Knowledge Musona,FIFA World Cup qualification,74,FALSE,FALSE
26-03-2013,Egypt,Zimbabwe,Egypt,Mohamed Aboutrika,FIFA World Cup qualification,88,FALSE,TRUE
26-03-2013,Estonia,Andorra,Estonia,Henri Anier,FIFA World Cup qualification,45,FALSE,FALSE
26-03-2013,Estonia,Andorra,Estonia,Joel Lindpere,FIFA World Cup qualification,61,FALSE,FALSE
26-03-2013,France,Spain,Spain,Pedro,FIFA World Cup qualification,58,FALSE,FALSE
26-03-2013,Germany,Kazakhstan,Germany,Marco Reus,FIFA World Cup qualification,23,FALSE,FALSE
26-03-2013,Germany,Kazakhstan,Germany,Mario Götze,FIFA World Cup qualification,27,FALSE,FALSE
26-03-2013,Germany,Kazakhstan,Germany,İlkay Gündoğan,FIFA World Cup qualification,31,FALSE,FALSE
26-03-2013,Germany,Kazakhstan,Kazakhstan,Heinrich Schmidtgal,FIFA World Cup qualification,46,FALSE,FALSE
26-03-2013,Germany,Kazakhstan,Germany,Marco Reus,FIFA World Cup qualification,90,FALSE,FALSE
26-03-2013,Jordan,Japan,Jordan,Khalil Bani Attiah,FIFA World Cup qualification,45,FALSE,FALSE
26-03-2013,Jordan,Japan,Jordan,Ahmad Hayel,FIFA World Cup qualification,60,FALSE,FALSE
26-03-2013,Jordan,Japan,Japan,Shinji Kagawa,FIFA World Cup qualification,69,FALSE,FALSE
26-03-2013,Malta,Italy,Italy,Mario Balotelli,FIFA World Cup qualification,8,FALSE,TRUE
26-03-2013,Malta,Italy,Italy,Mario Balotelli,FIFA World Cup qualification,45,FALSE,FALSE
26-03-2013,Montenegro,England,England,Wayne Rooney,FIFA World Cup qualification,6,FALSE,FALSE
26-03-2013,Montenegro,England,Montenegro,Dejan Damjanović,FIFA World Cup qualification,76,FALSE,FALSE
26-03-2013,Netherlands,Romania,Netherlands,Rafael van der Vaart,FIFA World Cup qualification,12,FALSE,FALSE
26-03-2013,Netherlands,Romania,Netherlands,Robin van Persie,FIFA World Cup qualification,56,FALSE,FALSE
26-03-2013,Netherlands,Romania,Netherlands,Robin van Persie,FIFA World Cup qualification,65,FALSE,TRUE
26-03-2013,Netherlands,Romania,Netherlands,Jeremain Lens,FIFA World Cup qualification,90,FALSE,FALSE
26-03-2013,New Caledonia,Tahiti,New Caledonia,César Lolohea,FIFA World Cup qualification,86,FALSE,FALSE
26-03-2013,Northern Ireland,Israel,Israel,Lior Refaelov,FIFA World Cup qualification,77,FALSE,FALSE
26-03-2013,Northern Ireland,Israel,Israel,Eden Ben Basat,FIFA World Cup qualification,84,FALSE,FALSE
26-03-2013,Panama,Honduras,Panama,Luis Tejada,FIFA World Cup qualification,1,FALSE,FALSE
26-03-2013,Panama,Honduras,Panama,Blas Pérez,FIFA World Cup qualification,74,FALSE,FALSE
26-03-2013,Poland,San Marino,Poland,Robert Lewandowski,FIFA World Cup qualification,21,FALSE,TRUE
26-03-2013,Poland,San Marino,Poland,Łukasz Piszczek,FIFA World Cup qualification,28,FALSE,FALSE
26-03-2013,Poland,San Marino,Poland,Robert Lewandowski,FIFA World Cup qualification,50,FALSE,TRUE
26-03-2013,Poland,San Marino,Poland,Łukasz Teodorczyk,FIFA World Cup qualification,60,FALSE,FALSE
26-03-2013,Poland,San Marino,Poland,Jakub Kosecki,FIFA World Cup qualification,90,FALSE,FALSE
26-03-2013,Republic of Ireland,Austria,Austria,Martin Harnik,FIFA World Cup qualification,11,FALSE,FALSE
26-03-2013,Republic of Ireland,Austria,Republic of Ireland,Jonathan Walters,FIFA World Cup qualification,25,FALSE,TRUE
26-03-2013,Republic of Ireland,Austria,Republic of Ireland,Jonathan Walters,FIFA World Cup qualification,45,FALSE,FALSE
26-03-2013,Republic of Ireland,Austria,Austria,David Alaba,FIFA World Cup qualification,90,FALSE,FALSE
26-03-2013,Serbia,Scotland,Serbia,Filip Đuričić,FIFA World Cup qualification,60,FALSE,FALSE
26-03-2013,Serbia,Scotland,Serbia,Filip Đuričić,FIFA World Cup qualification,66,FALSE,FALSE
26-03-2013,Solomon Islands,New Zealand,New Zealand,Tim Payne,FIFA World Cup qualification,3,FALSE,FALSE
26-03-2013,Solomon Islands,New Zealand,New Zealand,Tim Payne,FIFA World Cup qualification,88,FALSE,FALSE
26-03-2013,South Korea,Qatar,South Korea,Lee Keun-ho,FIFA World Cup qualification,60,FALSE,FALSE
26-03-2013,South Korea,Qatar,Qatar,Khalfan Ibrahim,FIFA World Cup qualification,63,FALSE,FALSE
26-03-2013,South Korea,Qatar,South Korea,Son Heung-min,FIFA World Cup qualification,90,FALSE,FALSE
26-03-2013,Turkey,Hungary,Turkey,Burak Yılmaz,FIFA World Cup qualification,64,FALSE,FALSE
26-03-2013,Turkey,Hungary,Hungary,Dániel Böde,FIFA World Cup qualification,71,FALSE,FALSE
26-03-2013,Ukraine,Moldova,Ukraine,Andriy Yarmolenko,FIFA World Cup qualification,61,FALSE,FALSE
26-03-2013,Ukraine,Moldova,Ukraine,Yevhen Khacheridi,FIFA World Cup qualification,70,FALSE,FALSE
26-03-2013,Ukraine,Moldova,Moldova,Alexandru Suvorov,FIFA World Cup qualification,80,FALSE,FALSE
26-03-2013,Uzbekistan,Lebanon,Uzbekistan,Server Djeparov,FIFA World Cup qualification,63,FALSE,FALSE
26-03-2013,Venezuela,Colombia,Venezuela,Salomón Rondón,FIFA World Cup qualification,14,FALSE,FALSE
26-03-2013,Wales,Croatia,Wales,Gareth Bale,FIFA World Cup qualification,21,FALSE,TRUE
26-03-2013,Wales,Croatia,Croatia,Dejan Lovren,FIFA World Cup qualification,77,FALSE,FALSE
26-03-2013,Wales,Croatia,Croatia,Eduardo da Silva,FIFA World Cup qualification,87,FALSE,FALSE
04-06-2013,Jamaica,Mexico,Mexico,Aldo de Nigris,FIFA World Cup qualification,48,FALSE,FALSE
04-06-2013,Japan,Australia,Australia,Tommy Oar,FIFA World Cup qualification,81,FALSE,FALSE
04-06-2013,Japan,Australia,Japan,Keisuke Honda,FIFA World Cup qualification,90,FALSE,TRUE
04-06-2013,Lebanon,South Korea,Lebanon,Hassan Maatouk,FIFA World Cup qualification,12,FALSE,FALSE
04-06-2013,Lebanon,South Korea,South Korea,Kim Chi-Woo,FIFA World Cup qualification,90,FALSE,FALSE
04-06-2013,Oman,Iraq,Oman,Ismail Al-Ajmi,FIFA World Cup qualification,45,FALSE,FALSE
04-06-2013,Qatar,Iran,Iran,Reza Ghoochannejhad,FIFA World Cup qualification,66,FALSE,FALSE
05-06-2013,Kenya,Nigeria,Nigeria,Ahmed Musa,FIFA World Cup qualification,80,FALSE,FALSE
07-06-2013,Albania,Norway,Albania,Valdet Rama,FIFA World Cup qualification,40,FALSE,FALSE
07-06-2013,Albania,Norway,Norway,Tom Høgli,FIFA World Cup qualification,87,FALSE,FALSE
07-06-2013,Armenia,Malta,Malta,Michael Mifsud,FIFA World Cup qualification,8,FALSE,FALSE
07-06-2013,Austria,Sweden,Austria,David Alaba,FIFA World Cup qualification,26,FALSE,TRUE
07-06-2013,Austria,Sweden,Austria,Marc Janko,FIFA World Cup qualification,32,FALSE,FALSE
07-06-2013,Austria,Sweden,Sweden,Johan Elmander,FIFA World Cup qualification,82,FALSE,FALSE
07-06-2013,Azerbaijan,Luxembourg,Azerbaijan,Ruslan Abishov,FIFA World Cup qualification,71,FALSE,FALSE
07-06-2013,Azerbaijan,Luxembourg,Luxembourg,Stefano Bensi,FIFA World Cup qualification,80,FALSE,FALSE
07-06-2013,Belgium,Serbia,Belgium,Kevin De Bruyne,FIFA World Cup qualification,13,FALSE,FALSE
07-06-2013,Belgium,Serbia,Belgium,Marouane Fellaini,FIFA World Cup qualification,60,FALSE,FALSE
07-06-2013,Belgium,Serbia,Serbia,Aleksandar Kolarov,FIFA World Cup qualification,87,FALSE,FALSE
07-06-2013,Bolivia,Venezuela,Venezuela,Juan Arango,FIFA World Cup qualification,58,FALSE,FALSE
07-06-2013,Bolivia,Venezuela,Bolivia,Jhasmani Campos,FIFA World Cup qualification,86,FALSE,FALSE
07-06-2013,Costa Rica,Honduras,Costa Rica,Roy Miller,FIFA World Cup qualification,25,FALSE,FALSE
07-06-2013,Croatia,Scotland,Scotland,Robert Snodgrass,FIFA World Cup qualification,26,FALSE,FALSE
07-06-2013,Finland,Belarus,Finland,Igor Shitov,FIFA World Cup qualification,57,TRUE,FALSE
07-06-2013,Iceland,Slovenia,Slovenia,Andraž Kirm,FIFA World Cup qualification,11,FALSE,FALSE
07-06-2013,Iceland,Slovenia,Iceland,Birkir Bjarnason,FIFA World Cup qualification,22,FALSE,FALSE
07-06-2013,Iceland,Slovenia,Iceland,Alfreð Finnbogason,FIFA World Cup qualification,26,FALSE,TRUE
07-06-2013,Iceland,Slovenia,Slovenia,Valter Birsa,FIFA World Cup qualification,31,FALSE,TRUE
07-06-2013,Iceland,Slovenia,Slovenia,Boštjan Cesar,FIFA World Cup qualification,61,FALSE,FALSE
